SID: 25391, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 25475, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 26349, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 35215, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'],
SID: 37257, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'],
SID: 18434, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'] ,
SID: 18440, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'] ,
SID: 19171, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'] ,
SID: 19172, MITRE URLs: ['https://attack.mitre.org/techniques/T1574/001/'] ,
SID: 48402, MITRE URLs: ['https://attack.mitre.org/techniques/T1041/'],
SID: 50464, MITRE URLs: ['https://attack.mitre.org/techniques/T1046/'],
SID: 50517, MITRE URLs: ['https://attack.mitre.org/techniques/T1046/'],
SID: 49570, MITRE URLs: ['https://attack.mitre.org/techniques/T1047/'],
SID: 4236, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'],
SID: 28349, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'],
SID: 28350, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'],
SID: 28351, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'],
SID: 18241, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'] ,
SID: 18242, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'] ,
SID: 18329, MITRE URLs: ['https://attack.mitre.org/techniques/T1047'] ,
SID: 24087, MITRE URLs: ['https://attack.mitre.org/techniques/T1048/'] ,
SID: 24088, MITRE URLs: ['https://attack.mitre.org/techniques/T1048/'] ,
SID: 42331, MITRE URLs: ['https://attack.mitre.org/techniques/T1055'],
SID: 53197, MITRE URLs: ['https://attack.mitre.org/techniques/T1056/'],
SID: 53198, MITRE URLs: ['https://attack.mitre.org/techniques/T1056/'],
SID: 5742, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5759, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5777, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5778, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5779, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5780, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5781, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5782, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5783, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5784, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5790, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
SID: 5880, MITRE URLs: ['https://attack.mitre.org/techniques/T1056'],
